"Shapes-casebranches.hls/Input: ( double: 2.0) Optimise: False",6.4930913092196e-3,6.338586533218623e-3,6.800226891189816e-3,1.020613981751837e-3,5.218510998673289e-4,1.5544657541309507e-3
"Shapes-casebranches.hls/Input: ( double: 2.0) Optimise: True",1.151845097267777,1.1496595451475675,1.1539755961538851,1.110243520385211e-2,9.760585048136513e-3,1.2938899841288985e-2
"Shapes-casebranches.hls/Input: ( double: 4.0) Optimise: False",2.4542958462387316e-2,2.422360631242394e-2,2.497067900910974e-2,1.8741620174789158e-3,1.4746966215620082e-3,2.2432990986064184e-3
"Shapes-casebranches.hls/Input: ( double: 4.0) Optimise: True",1.154825989926011,1.1523694488646088,1.1572488281370694,1.248404066092163e-2,1.127570726846966e-2,1.39250856175708e-2
"Shapes-casebranches.hls/Input: ( double: 8.0) Optimise: False",9.771341296449307e-2,9.711376401200891e-2,9.836393805757167e-2,3.2044221745237893e-3,2.981910358551316e-3,3.4396340027639674e-3
"Shapes-casebranches.hls/Input: ( double: 8.0) Optimise: True",1.1557839295507972,1.1543084451796113,1.1572891184927523,7.659702375030042e-3,6.914533246629592e-3,8.683959906522898e-3
"Shapes-casebranches.hls/Input: ( double: 16.0) Optimise: False",0.443248698437363,0.4417718073965609,0.44478235455766324,7.716160884937234e-3,7.095449608661775e-3,8.432005253199685e-3
"Shapes-casebranches.hls/Input: ( double: 16.0) Optimise: True",1.24246095868364,1.2407052204252782,1.244230279648453,9.019085862244203e-3,8.641007806334823e-3,9.887619358283388e-3
"Shapes-casebranches.hls/Input: ( double: 32.0) Optimise: False",1.9795425197722016,1.9748902151228487,1.9841828701139987,2.371218292825108e-2,2.153422399875577e-2,2.6183521031611603e-2
"Shapes-casebranches.hls/Input: ( double: 32.0) Optimise: True",1.6075573107840115,1.6043706867338716,1.6099280855299531,1.3882163958752618e-2,9.458999072104433e-3,1.940491520807087e-2
"Shapes-casebranches.hls/Input: ( double: 64.0) Optimise: False",8.578335468495043,8.558659741604474,8.598868355477004,0.10337040085126271,9.47399096214251e-2,0.11245356857578573
"Shapes-casebranches.hls/Input: ( double: 64.0) Optimise: True",3.1294318863989408,3.128573550903947,3.1303388545157005,4.531852811575252e-3,3.953075587528743e-3,5.3629820125412255e-3
"Shapes-casebranches.hls/Input: ( double: 128.0) Optimise: False",39.37526856633439,39.30159130069031,39.453683266365644,0.38946574217340796,0.3559215836112291,0.4272971166878403
"Shapes-casebranches.hls/Input: ( double: 128.0) Optimise: True",9.359352087700513,9.356762253964092,9.362195667946487,1.389408578034732e-2,1.2198167325158795e-2,1.671300944706088e-2
